更新日期,验证复现,集成开发,集成路径,POC名称,exp/poc文件名称,文件路径,语言,影响品牌,设备类型,设备型号,漏洞名称,CVE编号,发布时间,验证日期,漏洞地址,漏洞类型,备注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/6,————,,,,46444.zip,,,MikroTik,路由设备,RouterOS 6.42.11 and below;RouterOS 6.43.11 and below,MikroTik RouterOS < 6.43.12 (stable) / < 6.42.12 (long-term) - Firewall and NAT Bypass,CVE-2019-3924,2019/2/21,2020/3/2,https://www.exploit-db.com/exploits/46444,Remote,存在验证视频:https://www.youtube.com/watch?v=CxyOtsNVgFg，但poc压缩包缺少文件，poc不可用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/16,————,V,routersploit/routersploit/modules/exploits/PLC/beckhoff/38514.py,,38514.py,exp/PLC/Beckhoff/38514.py,Python,Beckhoff ,PLC,CX9020,Beckhoff CX9020 CPU Module - Remote Code Execution,————————,2015/10/22,2020/3/2,https://www.exploit-db.com/exploits/38514,Webapps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/22,————,V,routersploit/routersploit/modules/exploits/routers/netgear/39356.py,,39356.py,exp/routers/Netgear/39356.py,Python,Netgear,路由设备,"WNR1000v4,N300_1.1.0.31_1.0.1.img;N300-1.1.0.28_1.0.1.img; N300-1.1.0.24_1.0.1.img",NETGEAR WNR1000v4 - Authentication Bypass,————————,2016/1/28,2020/3/2,https://www.exploit-db.com/exploits/39356/,Webapps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/16,————,V,routersploit/routersploit/modules/exploits/routers/dlink/38810.py,,38810.py,exp/routers/D-Link/38810.py,Python,D-Link,路由设备,D-Link DIR-120；D-Link DI-624S；D-Link DI-524UP；D-Link DI-604S；D-Link DI-604UP；D-Link DI-604；D-Link DIR-100；D-Link TM-G5240；PLANEX COMMUNICATIONS BRL-04UR；PLANEX COMMUNICATIONS BRL-04R；PLANEX COMMUNICATIONS BRL-04CW ,D-Link / PLANEX COMMUNICATIONS - 'RuntimeDiagnosticPing()' Remote Stack Buffer Overflow,CVE-2013-6027,2013/10/14,2020/3/2,https://www.exploit-db.com/exploits/38810,Remote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/6,————,,,,38804.py,exp/routers/Level One Enterprise/38804.py,Python,Level One Enterprise ,路由设备,Level One EAP-200 2.00.03 build 1.50-1;Level One EAP-110 2.00.03 build 1.50-1;Not Vulnerable: ,Level One Enterprise Access Point (Multiple Devices) - 'backupCfg.cgi' Security Bypass,————————,2013/10/15,2020/3/2,https://www.exploit-db.com/exploits/38804,Remote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/6,×,,,,,,,Cisco,路由设备,6.2.2.2 & 6.2.3,Cisco Firepower Management Center Cross-Site Scripting,CVE-2019-1642,2019/1/28,2020/3/3,https://www.exploit-db.com/exploits/46263,Webapps,后续需编写poc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/6,×,,,,,,,Cisco,路由设备,1.4.2.15 and later,Cisco RV320 Dual Gigabit WAN VPN Router 1.4.2.15 - Command Injection,CVE-2019-1652,2019/4/3,2020/3/3,https://www.exploit-db.com/exploits/46243,Webapps,后续需编写poc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/16,————,V,routersploit/routersploit/modules/exploits/firewall/fortigate/CVE_2018_13374.py,,CVE-2018-13374.py,exp/firewall/FortiGate/CVE-2018-13374.py,Python,FortiGate,防火墙,FortiGate FortiOS < 6.0.3,FortiGate FortiOS < 6.0.3 - LDAP Credential Disclosure,CVE-2018-13374,2019/1/16,2020/3/3,https://www.exploit-db.com/exploits/46171,Webapps,该脚本需要账号及密码,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/6,×,,,,,,,ZTE,路由设备,ZXHN H168N V2.2.0_PK1.2T5,ZTE ZXHN H168N - Improper Access Restrictions,CVE-2018-7357;CVE-2018-7358,2018/12/11,2020/3/3,https://www.exploit-db.com/exploits/45972,Webapps,后续需编写poc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/6,————,,,,CVE-2016-1555.py,exp/routers/Netgear/cve-2016-1555.py,Ruby,Netgear,路由设备,"Netgear WN604 before 3.3.3 and WN802Tv2,WNAP210v2, WNAP320, WNDAP350,WNDAP360, and WNDAP660 before 3.5.5.0",Netgear Devices - (Unauthenticated) Remote Command Execution,CVE-2016-1555,2018/11/27,2020/3/3,https://www.exploit-db.com/exploits/45909,Remote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/6,×,,,,,,,Billion,路由设备,Billion ADSL Router 400G 20151105641,Billion ADSL Router 400G 20151105641 - Cross-Site Scripting,————————,2019/9/30,2020/3/3,https://www.exploit-db.com/exploits/45515,Webapps,后续需编写poc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/6,×,,,,,,,Netis,路由设备,Netis ADSL Router DL4322D RTK 2.1.1,Netis ADSL Router DL4322D RTK 2.1.1 - Cross-Site Scripting,————————,2018/9/17,2020/3/3,https://www.exploit-db.com/exploits/45422,Webapps,后续需编写poc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/22,————,V,routersploit/routersploit/modules/exploits/routers/netgear/DL4322D_Dos.py,,DL4322D_Dos.py,exp/routers/Netis/DL4322D_Dos.py,Python,Netis,路由设备,DL4322D RTK 2.1.1,Netis ADSL Router DL4322D RTK 2.1.1 - Denial of Service,————————,2018/9/17,2020/3/3,https://www.exploit-db.com/exploits/45424,Remote,可能由于防火墙的原因连接不到国外域名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/6,————,,,,eWON_Bypass.py,exp/routers/Ewon/eWON_Bypass.py,Python,Ewon,路由设备,12.2 to 13.0,eWON Flexy - Authentication Bypass,————————,2019/9/11,2020/3/3,https://www.exploit-db.com/exploits/47380,Remote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/6,×,,,,,,,Vox,路由设备,Vox TG790 ADSL Router 6.2.W.1,Vox TG790 ADSL Router - Cross-Site Scripting,————————,2018/8/31,2020/3/3,https://www.exploit-db.com/exploits/45310,Webapps,后续需编写poc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/6,×,,,,,,,Vox,路由设备,Vox TG790 ADSL Router 6.2.W.1,Vox TG790 ADSL Router - Cross-Site Request Forgery (Add Admin),————————,2018/8/24,2020/3/3,https://www.exploit-db.com/exploits/45252,Webapps,后续需编写poc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/6,×,,,,,,,NUUO,路由设备,NUUO NVRmini v2016,NUUO NVRmini - 'upgrade_handle.php' Remote Command Execution,————————,2018/7/23,2020/3/3,https://www.exploit-db.com/exploits/45070,Webapps,后续需编写poc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/16,————,V,routersploit/routersploit/modules/exploits/gateway/vmware/cve-2018-6961.py,,cve-2018-6961.py,exp/gateway/Vmware/cve-2018-6961.py,,Vmware,网关设备,VMware NSX SD-WAN Edge < 3.1.2,VMware NSX SD-WAN Edge < 3.1.2 - Command Injection,————————,2018/7/2,2020/3/3,https://www.exploit-db.com/exploits/44959,Webapps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/22,————,V,routersploit/routersploit/modules/exploits/routers/cisco/cve_2006_0354.c,,cve_2006_0354.c,exp/routers/Cisco/cve_2006_0354.c,C,Cisco,路由设备,Cisco Aironet 350 IOS ，Cisco Aironet 1400，Cisco Aironet 1300，Cisco Aironet 1240AG，Cisco Aironet 1230AG，Cisco Aironet 1200，Cisco Aironet 1130AG，Cisco Aironet 1100,Cisco Aironet Wireless Access Points - Memory Exhaustion ARP (Denial of Service),CVE-2006-0354 ,2006/1/25,2020/3/2,https://www.exploit-db.com/exploits/1447,Dos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/22,————,V,routersploit/routersploit/modules/exploits/routers/arescom/cve_2002_0256.c,,cve_2002_0256.c,exp/routers/Arescom/cve_2002_0256.c,C,Arescom,路由设备,Arescom NetDSL-1000,Arescom NetDSL-1000 - 'TelnetD' Remote Denial of Service,CVE-2002-0256,2006/2/2,2020/3/2,https://www.exploit-db.com/exploits/1464,Dos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/4/12,————,V,routersploit/routersploit/modules/exploits/routers/sony/cve_2006_0671.c,,cve_2006_0671.c,exp/routers/Sony((Ericsson))/cve_2006_0671.c,C,Sony/Ericsson,路由设备,- K600i；- V600i；- K750i；- W800i,Sony/Ericsson Bluetooth - Reset Display Denial of Service,CVE-2006-0671,2006/2/6,2020/3/3,https://www.exploit-db.com/exploits/1473,Dos,"失败原因：
1.程序本身需要头文件或cpp文件被遗漏了;
2.h文件中相关的函数在cpp文件中没有定义，或者说函数的声明(.h中)与定义(.cpp中)不一致",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/4/3,————,V,routersploit/routersploit/modules/exploits/routers/fortinet/CVE-2005-3058.pl,,cve_2005_3058.pl,exp/routers/Fortinet/cve_2005_3058.pl,Perl,Fortinet,路由设备,Fortigate2.x;3.0,Fortinet Fortigate 2.x/3.0 - URL Filtering Bypass,CVE-2005-3058,2006/2/13,2020/3/3,https://www.exploit-db.com/exploits/27203,Remote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/29,————,V,routersploit/routersploit/modules/exploits/TV/Samsung/cve_2013_4890.py,,cve_2013_4890.py,exp/TV/Samsung/cve_2013_4890.py,Python,Samsung,TV,Samsung:Ps50c7700_television_firmware:-:::??,Samsung PS50C7700 TV - Denial of Service,CVE-2013-4890,2013/7/23,2020/3/3,https://www.exploit-db.com/exploits/27043,Dos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/16,————,V,routersploit/routersploit/modules/exploits/PLC/galil/cve_2013_0699.py,,cve_2013_0699.py,exp/PLC/Galil/cve_2013_0699.py,Python,Galil ,PLC,Galilmc:Rio-47100_plc:-:::??,Galil-RIO Modbus - Denial of Service,CVE-2013-0699,2013/7/23,2020/3/3,https://www.exploit-db.com/exploits/27131,Dos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/22,————,V,routersploit/routersploit/modules/exploits/routers/netgear/cve_2013_4775.py,,cve_2013_4775.py,exp/router/Netgear/cve_2013_4775.py,Python,NETGEAR,路由设备,NETGEAR ProSafe GS724Tv3和GS716Tv2 with firmware 5.4.1.13及之前的版本；GS748Tv4 with firmware 5.4.1.14及之前版本；GS510TP with firmware 5.4.0.6版本；GS752TPS，GS728TPS，GS728TS，GS725TS with firmware 5.3.0.17版本；GS752TXS和GS728TXS with firmware 6.1.0.12版本。,NETGEAR ProSafe - Information Disclosure,CVE-2013-4775,2013/8/22,2020/3/3,https://www.exploit-db.com/exploits/27774,Webapps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/22,————,V,routersploit/routersploit/modules/exploits/routers/netgear/cve_2013_4776.py,,cve_2013_4776.py,exp/router/Netgear/cve_2013_4776.py,Python,NETGEAR,路由设备,NETGEAR ProSafe GS724Tv3和GS716Tv2 with firmware 5.4.1.13及之前的版本，GS748Tv4 5.4.1.14版本，GS510TP 5.0.4.4版本,NETGEAR ProSafe - Denial of Service,CVE-2013-4776,2013/8/22,2020/3/3,https://www.exploit-db.com/exploits/27775,Dos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/4/3,————,V,,,27775.py,exp/TV/Vestel/27775.py,Python,Vestel?,TV,Vestel TV 42pf9322?,Vestel TV 42pf9322 - Denial of Service,————————,2013/9/13,2020/3/3,https://www.exploit-db.com/exploits/28271,Dos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/22,————,V,routersploit/routersploit/modules/exploits/routers/fiberHome_modem/28450.py,,28450.py,exp/router/FiberHome Modem/28450.py,Python,FiberHome Modem,路由设备,HG110_BH_V1.6,FiberHome Modem Router HG-110 - Authentication Bypass To Remote Change DNS Servers,————————,2013/9/22,2020/3/3,https://www.exploit-db.com/exploits/28450,Remote,dns的问题导致没有成功运行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/6,×,,,,,,,Intel,路由设备,Express 8100 ISDN,Intel Corporation Express 8100 ISDN Router - Fragmented ICMP,————————,1990/5/19,2020/3/3,https://www.exploit-db.com/exploits/19943,Remote,后续需编写poc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/6,×,,,,,,C,hp,打印机, G.08.x / rev。H.08.x / x.08.x / J3111A-LCD,"	HP JetDirect rev. G.08.x/rev. H.08.x/x.08.x/J3111A - LCD Display Modification",————————,1997/12/0,2020/3/3,https://www.exploit-db.com/exploits/20565,Remote,（打印机设备）poc运行报错，未修改成功,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/22,————,V,routersploit/routersploit/modules/exploits/routers/ascend/cve_1999_0193.c,,cve_1999_0193.c,exp/routers/Ascend/cve_1999_0193.c,C,Ascend,路由设备,R 4.5 Ci12及之前版本,Ascend R 4.5 Ci12 - Denial of Service ?,CVE-1999-0193,1998/3/16,2020/3/3,https://www.exploit-db.com/exploits/20331,Dos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/22,————,V,routersploit/routersploit/modules/exploits/routers/lucent/cve_1999_0060.c,,cve_1999_0060.c,exp/routers/lucent/cve_1999_0060.c,C,Lucent,路由设备,lucent Ascend MAX 5.0 / Pipeline 6.0 / TNT 1.0 / 2.0,Lucent Ascend MAX 5.0/Pipeline 6.0/TNT 1.0/2.0 Router - MAX UDP Port 9 (1),CVE-1999-0060,1998/3/16,2020/3/3,https://www.exploit-db.com/exploits/19554,Remote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/6,————,,,,cve_1999_0193.pl,exp/routers/Ascend/cve_1999_0193.pl,Perl,Ascend,路由设备,Ascend R 4.5 Ci12-,Ascend R 4.5 Ci12 - Denial of Service (Perl),CVE-1999-0193,1998/3/17,2020/3/3,https://www.exploit-db.com/exploits/20332,Dos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/4/24,————,V,routersploit/routersploit/modules/exploits/routers/ascend/cve_1999_0060.pl,,cve_1999_0060.pl,exp/routers/lucent/cve_1999_0060.pl,Perl,Lucent,路由设备,Ascend MAX 5.0 / Pipeline 6.0 / TNT 1.0 / 2.0,Lucent Ascend MAX 5.0/Pipeline 6.0/TNT 1.0/2.0 Router - MAX UDP Port 9 (2),CVE-1999-0060,1998/3/17,2020/3/3,https://www.exploit-db.com/exploits/19555,Remote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/22,————,V,routersploit/routersploit/modules/exploits/routers/dlink/D-link_1998_4_16dos.c,,D-link_1998_4_16dos.c,exp/routers/D-link/D-link_1998_4_16dos.c,C,D-Link,路由设备,D-Link DI-614,D-Link DI-614+ - IP Fragment Reassembly Denial of Service,————————,1998/4/16,2020/3/3,https://www.exploit-db.com/exploits/22440,Dos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/6,×,,,,,,,Cisco,路由设备,Cisco IOS 12.0.2,Cisco IOS 12.0.2 - Syslog Crash,CVE-1999-0063,1999/1/11,2020/3/3,https://www.exploit-db.com/exploits/19531,Dos,后续需编写poc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/4/3,————,V,routersploit/routersploit/modules/exploits/routers/cisco/cve_1999_0416_dos.c,,Cisco_dos.c,exp/routers/Cisco/cve_1999_0416_dos.c,C,Cisco,路由设备,Cisco 7xx,"	Cisco 7xx Series Router - Denial of Service",CVE-1999-0416,1999/3/11,2020/3/3,https://www.exploit-db.com/exploits/19919,Dos,poc运行报错，未调试成功,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/6,×,,,,,,,Checkpoint Software,防火墙,Check Point Software Firewall-1 3.0 / 1 4.0-,Check Point Software Firewall-1 3.0/1 4.0 - Table Saturation Denial of Service,CVE-1999-0770,1999/7/29,2020/3/3,https://www.exploit-db.com/exploits/19436,Dos,后续需编写poc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/4/3,————,X,routersploit/routersploit/modules/exploits/routers/Network_Associates_Gauntlet/cve_1999_0683.c,,cve_1999_0683.c,exp/firewall/Network_Associates_Gauntlet/cve_1999_0683.c,C,Network Associates Gauntlet,防火墙,Gauntlet Firewall 5.0,Network Associates Gauntlet Firewall 5.0 - Denial of Service,CVE-1999-0683,1999/7/30,2020/3/3,https://www.exploit-db.com/exploits/19441,Dos,编译失败缺少头文件，未解决,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/6,————,,,,OS_Command_Injection.rb,exp/routers/D-Link/OS_Command_Injection.rb,Ruby,D-Link,路由设备,DSL-2750B,D-Link DSL-2750B - OS Command Injection,,2018/5/25,2020/3/4,https://www.exploit-db.com/exploits/44760,Remote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/6,×,,,,,,C,AMD/ARM/Intel,CPU,"Intel(R) Core(TM) i7-6600U CPU @ 2.60GHz [Skylake laptop];AMD PRO A8-9600 R7, 10 COMPUTE CORES 4C+6G [AMD desktop];Intel(R) Xeon(R) CPU E5-1650 v3 @ 3.50GHz [Haswell desktop]",AMD / ARM / Intel - Speculative Execution Variant 4 Speculative Store Bypass ,CVE-2018-3639 ,2018/5/22,2020/3/4,https://www.exploit-db.com/exploits/44695,Dos,poc运行报错，未调试成功,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/6,×,,,,,,,Network Security Wizards ,路由设备,Dragon-Fire IDS 1.0,Network Security Wizards Dragon-Fire IDS 1.0 - Command Execution,CVE-1999-0913,1999/8/5,2020/3/4,https://www.exploit-db.com/exploits/19444,Remote,后续需要编写poc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/6,×,,,,,,,TFS,路由设备,TFS Gateway 4.0,TFS Gateway 4.0 - Denial of Service,CVE-1999-1515,1999/8/31,2020/3/4,https://www.exploit-db.com/exploits/19477,Dos,后续需要编写poc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/6,×,,,,,,,Eicon Networks,调制解调器,DIVA LAN ISDN Modem 1.0 Release 2.5/1.0/2.0,Eicon Networks DIVA LAN ISDN Modem 1.0 Release 2.5/1.0/2.0 - Denial of Service,CVE-1999-1533,1999/9/27,2020/3/4,https://www.exploit-db.com/exploits/19513,Dos,后续需要编写poc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/6,×,,,,,,,IKE,VPN,未说明,IKE - Aggressive Mode Shared Secret Hash Leakage,,1999/10/2,2020/3/4,https://www.exploit-db.com/exploits/22532,Remote,后续需要编写poc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/6,×,,,,,,,Hybrid ,调制解调器,Cable Broadband Access System 1.0,Hybrid Networks Cable Broadband Access System 1.0 - Remote Configuration,CVE-1999-0791,1999/10/5,2020/3/4,https://www.exploit-db.com/exploits/19538,Remote,后续需要编写poc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/6,×,,,,,,,Tektronix Phaser,打印机,Network Printer 740/750/750DP/840/930 ,Tektronix Phaser Network Printer 740/750/750DP/840/930 PhaserLink WebServer - Retrieve Administrator Password,CVE-1999-1508,1999/11/17,2020/3/4,https://www.exploit-db.com/exploits/19632,Remote,后续需要编写poc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/6,×,,,,,,,"	Nortel",路由设备,未说明,"	Nortel Networks Nautica Marlin - Denial of Service",CVE-2000-0221,2000/2/25,2020/3/4,https://www.exploit-db.com/exploits/19766,Dos,后续需要编写poc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
